net,length_um
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[4\],47.84
clknet_leaf_107_clk,47.84
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[8\],47.64
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.act_val\[5\],47.56
_2850_,47.52
_1126_,47.44
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.psum_out\[7\],47.44
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.psum_out\[8\],47.24
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[4\],46.965
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[8\],46.82
_3030_,46.72
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[5\],46.72
_3431_,46.68
net17,46.56
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[1\],46.46
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[9\],46.36
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[1\],46.22
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[11\],46.16
clknet_leaf_58_clk,46.14
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[7\],46.1
net234,46
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[3\],45.9
u_pe_array.u_fifo1.rd_ptr\[1\],45.88
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[8\],45.86
_1505_,45.77
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[2\],45.77
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[10\],45.46
clknet_leaf_78_clk,45.24
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[11\],45.19
u_pe_array.act_from_down\[3\]\[7\],45.16
_2349_,45.14
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[8\],44.9
_1399_,44.82
_1294_,44.8
clknet_leaf_34_clk,44.72
_2728_,44.56
_0958_,44.34
_2011_,44.28
_2010_,44.22
_2142_,44.22
u_pe_array.act_from_up\[4\]\[1\],44.18
clknet_leaf_2_clk,43.88
_2691_,43.86
_1480_,43.76
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[7\],43.64
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[10\],43.64
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[0\],43.64
_1122_,43.62
_2356_,43.54
u_pe_array.act_from_down\[3\]\[6\],43.34
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[11\],43.32
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[11\],43.2
_3400_,43.18
_2337_,43.13
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[8\],43.08
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.move_reg\[10\],42.6
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[11\],42.56
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[0\],42.52
clknet_leaf_29_clk,42.38
u_pe_array.act_from_up\[14\]\[1\],42.22
clknet_leaf_108_clk,41.84
_1133_,41.71
_3415_,41.67
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_shift_en_d,41.64
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[7\],41.6
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.psum_out\[7\],41.6
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[10\],41.58
_2339_,41.54
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[9\],41.52
_2721_,41.5
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[0\],41.22
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.act_val\[1\],41.16
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.act_val\[2\],41.06
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[4\],41.04
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.move_reg\[11\],41.04
net364,40.9
